课程代码,课程名称,考核方式,学分,修读学年
01211208,硬笔书法,考查,2,3
01211227,Flash动画制作,考查,1.5,2
01211228,中国饮食文化,考查,1,2
01211236,四川旅游文化,考查,1.5,2
01211237,中国传统文化,考查,1.5,2
01211245,西南少数民族文化,考查,1,2
01211246,宗教文化,考查,1,2
01211261,婚姻家庭继承法学,考查,2,5
01211262,风俗文化概论,考查,1.5,5
01211263,北欧神话与社会,考查,1.5,2
01211264,名著欣赏与写作技巧,考查,1.5,2
01211265,大学生实用文书写作,考查,1.5,3
01211266,口才学,考查,1.5,2
01211267,大学生身边的法律问题,考查,1.5,2
01211801,普通话训练,考查,1.5,2
01211803,书法鉴赏(硬笔书法),考查,1,3
01211805,书法鉴赏(硬笔书法),考查,1,1
01211808,书法鉴赏（硬笔书法）,考查,1,3
01211819,影视鉴赏,考查,1,3
01211824,普通话训练,考查,1.5,2
01211826,普通话训练,考查,1.5,3
01211828,书法鉴赏（硬笔书法）,考查,1,3
01211829,书法鉴赏（硬笔书法）,考查,1,3
01211831,人际关系口才学,考查,1.5,2
01211832,人际关系口才学,考查,1.5,2
01211833,现代人际关系,考查,1.5,2
01211840,教育心理学,考查,1.5,2
01211841,音乐鉴赏,考查,1,2
01211842,音乐鉴赏,考查,1,2
01211845,教育学,考查,1.5,2
01211846,朗诵与演讲,考查,1.5,2
01211847,影视鉴赏,考查,1,2
01211848,书法鉴赏（硬笔书法）,考查,1,3
01211849,书法鉴赏（硬笔书法）,考查,1,2
01211850,书法鉴赏（硬笔书法）,考查,1,2
01211851,书法鉴赏（硬笔书法）,考查,1,2
01211853,国学基础（上）,考查,2,1
01211854,国学基础（下）,考查,2,2
01211855,西南少数民族文化赏析,考查,1.5,3
01211856,硬笔书法,考查,2,2
01211857,四川旅游文化,考查,2,3
01211858,风俗文化概论,考查,2,3
01211859,创业政策与法规,考查,1.5,2
01211860,法律与人际关系,考查,1.5,2
01211861,婚姻法,考查,1.5,3
01211862,房地产法,考查,1.5,3
01211863,中外法律电影赏析,考查,1,5
01211864,影视鉴赏,考查,1,5
01211865,国学基础,考查,2,3
01211867,音乐鉴赏,考查,1,1
01211868,电子琴,考查,2,2
01211869,古筝演奏与教学,考查,2,5
01211870,房地产法,考查,2,2
01211871,大学生实用文书写作,考查,2,3
01211874,科幻赏析,考查,1,3
01211875,名作鉴赏与写作技巧,考查,2,3
01211877,人文讲坛,考查,1,3
01211879,社交礼仪,考查,2,3
01211880,西南少数民族文化赏析,考查,2,5
01211881,心理学与生活,考查,2,3
01211882,书法鉴赏,考查,1,1
01211883,中国现当代诗歌鉴赏,考查,1,5
01211884,宗教文化赏析,考查,2,5
01211954,北欧神话鉴赏,考查,1.5,4
01221800,房地产法,考查,1.5,2
01221802,婚姻法,考查,1.5,2
01221811,公务员考试应试技巧,考查,1.5,2
01221813,婚姻法学,考查,1.5,1
01221814,公务员考试应试技巧,考查,1.5,2
01221815,房地产法,考查,1.5,2
01221820,法律与人际关系,考查,1.5,2
01221825,劳动法,考查,1.5,2
01221826,劳动法,考查,1.5,2
01221828,中外法律电影赏析,考查,1,2
01221832,知识产权法,考查,1.5,2
01221833,科幻作品赏析,考查,1.5,2
01221836,创业政策与法规,考查,1.5,2
01221841,影视鉴赏,考查,1,3
01221842,影视鉴赏,考查,1,2
01221848,创业政策与法规,考查,1.5,2
01221850,婚姻家庭继承法学,考查,1.5,2
01231084,中国饮食文化,考查,2,5
01231201,职业生涯规划（一）,考查,0.5,1
01231204,大学生就业指导教育（二）,考查,0.5,8
01231807,中国传统文化概论,考查,1.5,3
01231810,中国传统文化概论,考查,1.5,3
01231814,中国饮食文化,考查,1.5,2
01231815,中国饮食文化,考查,1.5,2
01231816,人际关系礼仪,考查,1.5,2
01231817,人际关系礼仪,考查,1.5,2
01231818,中国民俗文化,考查,1.5,2
01231819,中国民俗文化,考查,1.5,2
01231820,四川旅游文化,考查,1.5,2
01231821,四川旅游文化,考查,1.5,2
01231823,风俗文化概论,考查,1.5,2
01231824,网络营销与创业,考查,1.5,2
01231825,自助游文化,考查,2,2
01241048,社会学概论,考查,3,1
01241050,经济法学,考试,3,1
01241380,形象与口才训练1,考查,0.5,1
01242001,公共管理学,考试,3,1
01252939,音乐鉴赏,考查,1,2
012940,戏剧鉴赏,考查,1,2
012941,生活中的心理学,考查,1.5,2
012942,四川旅游文化,考查,1.5,4
012943,社交礼仪,考查,1,4
012944,中国饮食文化,考查,1.5,2
012945,生活中的劳动与社会保障法,考查,1,2
012946,FLASH动画制作,考查,2,4
012947,风俗文化概论,考查,1.5,4
012949,宗教文化赏析,考查,1,4
012950,西南少数民族文化赏析,考查,1,4
012951,科幻作品赏析,考查,1.5,6
012952,大学生实用文书写作,考查,1.5,2
02211001,大学英语1,考试,4,1
02211002,大学英语2,考试,4.5,2
02211003,大学英语3,考试,4.5,3
02211004,大学英语4,考试,4.5,4
02211009,大学英语1,考试,3.5,1
02211010,大学英语2,考试,4,2
02211011,大学英语3,考试,4,3
02211018,大学英语3（综合训练）,考查,4,3
02211019,大学英语3（口语),考试,4,3
02211020,大学英语3(英美国家社会与文化入门）,考试,4,3
02211021,大学英语3（翻译与写作),考查,4,3
02211022,大学英语3（英文电影赏析）,考试,4,3
02232014,大学日语2,考试,3.5,2
02232015,大学日语3,考试,3.5,3
02241035,英语口语1,考试,2,1
02241083,外语自主性学习策略与技巧,考查,1.5,2
02261031,西方文化概论,考查,1,2
02261037,西方音乐魅力赏析,考查,1,3
02261038,英语电影视听说,考查,1,3
02261039,美国文化概况,考查,1.5,3
02261040,跨文化交际,考查,2,3
02261041,家庭园艺鉴赏与实践,考查,1,4
02261043,新时期身心灵影视作品观赏与思考,考查,1.5,3
02261044,英语阅读策略与技巧,考查,2,3
02261045,中外文化礼仪对比,考查,2,3
02261046,当代西方文艺理论,考查,1,2
02261047,《圣经》的文化解读,考查,2,3
02261048,日本语言与文化,考查,1,5
02261050,日本概况,考查,2,3
02261052,日本概况,考查,1,2
02261053,英语新闻与事实动态,考查,1.5,3
02261054,科技翻译实训,考查,1.5,2
02261055,西方主流文化解读,考查,1.5,2
02261056,户外运动常识,考查,1,2
02261057,新时期身心灵合一成长：视听与反思,考查,2,5
02261067,新时期身心灵合一成长：视听与反思,考查,1.5,2
02261100,大学日语1,考试,3.5,1
02271007,英语口语4,考试,2,6
02271009,基础英语1,考试,4,1
02271053,视听1,考试,2,1
02271065,大学日语1,考试,3.5,3
